date,sunspot_ms,diff
1856-01-01,6.3,0.2999999999999998
1856-02-01,6.9,0.6000000000000005
1856-03-01,7.5,0.5999999999999996
1856-04-01,7.4,-0.09999999999999964
1856-05-01,7.3,-0.10000000000000053
1856-06-01,7.9,0.6000000000000005
1856-07-01,9.3,1.4000000000000004
1856-08-01,10.5,1.1999999999999993
1856-09-01,11.1,0.5999999999999996
1856-10-01,11.8,0.7000000000000011
1856-11-01,14.5,2.6999999999999993
1856-12-01,17.6,3.1000000000000014
1857-01-01,19.8,2.1999999999999993
1857-02-01,22.1,2.3000000000000007
1857-03-01,26.0,3.8999999999999986
1857-04-01,31.8,5.800000000000001
1857-05-01,36.6,4.800000000000001
1857-06-01,40.8,4.199999999999996
1857-07-01,45.2,4.400000000000006
1857-08-01,49.4,4.199999999999996
1857-09-01,55.7,6.300000000000004
1857-10-01,62.0,6.299999999999997
1857-11-01,65.1,3.0999999999999943
1857-12-01,68.4,3.3000000000000114
1858-01-01,73.4,5.0
1858-02-01,79.1,5.699999999999989
1858-03-01,85.2,6.1000000000000085
1858-04-01,92.2,7.0
1858-05-01,97.8,5.599999999999994
1858-06-01,101.8,4.0
1858-07-01,107.6,5.799999999999997
1858-08-01,115.3,7.700000000000003
1858-09-01,122.1,6.799999999999997
1858-10-01,128.5,6.400000000000006
1858-11-01,136.1,7.599999999999994
1858-12-01,143.4,7.300000000000011
1859-01-01,149.8,6.400000000000006
1859-02-01,157.0,7.199999999999989
1859-03-01,163.1,6.099999999999994
1859-04-01,167.0,3.9000000000000057
1859-05-01,172.4,5.400000000000006
1859-06-01,177.1,4.699999999999989
1859-07-01,178.1,1.0
1859-08-01,178.1,0.0
1859-09-01,178.8,0.700000000000017
1859-10-01,178.4,-0.4000000000000057
1859-11-01,178.5,0.09999999999999432
1859-12-01,181.5,3.0
1860-01-01,185.0,3.5
1860-02-01,186.2,1.1999999999999886
1860-03-01,184.6,-1.5999999999999943
1860-04-01,181.5,-3.0999999999999943
1860-05-01,179.7,-1.8000000000000114
1860-06-01,180.9,1.200000000000017
1860-07-01,180.4,-0.5
1860-08-01,178.0,-2.4000000000000057
1860-09-01,177.3,-0.6999999999999886
1860-10-01,179.6,2.299999999999983
1860-11-01,177.8,-1.799999999999983
1860-12-01,172.2,-5.600000000000023
1861-01-01,167.5,-4.699999999999989
1861-02-01,163.0,-4.5
1861-03-01,160.6,-2.4000000000000057
1861-04-01,157.9,-2.6999999999999886
1861-05-01,152.6,-5.300000000000011
1861-06-01,147.8,-4.799999999999983
1861-07-01,146.7,-1.1000000000000227
1861-08-01,145.7,-1.0
1861-09-01,140.1,-5.599999999999994
1861-10-01,132.0,-8.099999999999994
1861-11-01,129.1,-2.9000000000000057
1861-12-01,129.4,0.30000000000001137
1862-01-01,128.7,-0.700000000000017
1862-02-01,126.7,-1.9999999999999858
1862-03-01,124.1,-2.6000000000000085
1862-04-01,121.0,-3.0999999999999943
1862-05-01,118.8,-2.200000000000003
1862-06-01,115.4,-3.3999999999999915
1862-07-01,111.1,-4.300000000000011
1862-08-01,109.3,-1.7999999999999972
1862-09-01,110.5,1.2000000000000028
1862-10-01,111.3,0.7999999999999972
1862-11-01,109.4,-1.8999999999999915
1862-12-01,105.1,-4.300000000000011
1863-01-01,98.5,-6.599999999999994
1863-02-01,94.1,-4.400000000000006
1863-03-01,89.4,-4.699999999999989
1863-04-01,85.7,-3.700000000000003
1863-05-01,84.5,-1.2000000000000028
1863-06-01,83.5,-1.0
1863-07-01,84.3,0.7999999999999972
1863-08-01,84.3,0.0
1863-09-01,83.5,-0.7999999999999972
1863-10-01,83.1,-0.4000000000000057
1863-11-01,81.7,-1.3999999999999915
1863-12-01,82.0,0.29999999999999716
1864-01-01,85.1,3.0999999999999943
1864-02-01,87.4,2.3000000000000114
1864-03-01,88.5,1.0999999999999943
1864-04-01,88.5,0.0
1864-05-01,89.6,1.0999999999999943
1864-06-01,90.2,0.6000000000000085
1864-07-01,88.5,-1.7000000000000028
1864-08-01,87.1,-1.4000000000000057
1864-09-01,84.4,-2.6999999999999886
1864-10-01,81.8,-2.6000000000000085
1864-11-01,80.8,-1.0
1864-12-01,78.4,-2.3999999999999915
1865-01-01,74.3,-4.1000000000000085
1865-02-01,70.7,-3.5999999999999943
1865-03-01,68.8,-1.9000000000000057
1865-04-01,66.9,-1.8999999999999915
1865-05-01,63.0,-3.9000000000000057
1865-06-01,59.1,-3.8999999999999986
1865-07-01,56.5,-2.6000000000000014
1865-08-01,55.1,-1.3999999999999986
1865-09-01,53.8,-1.3000000000000043
1865-10-01,51.7,-2.0999999999999943
1865-11-01,49.1,-2.6000000000000014
1865-12-01,46.0,-3.1000000000000014
1866-01-01,43.3,-2.700000000000003
1866-02-01,39.9,-3.3999999999999986
1866-03-01,36.8,-3.1000000000000014
1866-04-01,35.4,-1.3999999999999986
1866-05-01,34.0,-1.3999999999999986
1866-06-01,31.9,-2.1000000000000014
1866-07-01,28.5,-3.3999999999999986
1866-08-01,23.0,-5.5
1866-09-01,18.8,-4.199999999999999
1866-10-01,16.6,-2.1999999999999993
1866-11-01,14.8,-1.8000000000000007
1866-12-01,12.8,-2.0
1867-01-01,11.3,-1.5
1867-02-01,10.3,-1.0
1867-03-01,9.9,-0.40000000000000036
1867-04-01,10.0,0.09999999999999964
1867-05-01,10.0,0.0
1867-06-01,11.9,1.9000000000000004
1867-07-01,14.9,3.0
1867-08-01,17.0,2.0999999999999996
1867-09-01,19.1,2.1000000000000014
1867-10-01,22.4,3.299999999999997
1867-11-01,26.2,3.8000000000000007
1867-12-01,29.8,3.6000000000000014
1868-01-01,33.5,3.6999999999999993
1868-02-01,37.1,3.6000000000000014
1868-03-01,41.6,4.5
1868-04-01,47.3,5.699999999999996
1868-05-01,53.9,6.600000000000001
1868-06-01,60.0,6.100000000000001
1868-07-01,65.8,5.799999999999997
1868-08-01,72.1,6.299999999999997
1868-09-01,77.0,4.900000000000006
1868-10-01,79.1,2.0999999999999943
1868-11-01,84.8,5.700000000000003
1868-12-01,95.5,10.700000000000003
1869-01-01,103.0,7.5
1869-02-01,108.2,5.200000000000003
1869-03-01,113.7,5.5
1869-04-01,115.9,2.200000000000003
1869-05-01,117.0,1.0999999999999943
1869-06-01,120.9,3.9000000000000057
1869-07-01,124.6,3.6999999999999886
1869-08-01,129.5,4.900000000000006
1869-09-01,140.7,11.199999999999989
1869-10-01,156.2,15.5
1869-11-01,169.5,13.300000000000011
1869-12-01,176.4,6.900000000000006
1870-01-01,183.4,7.0
1870-02-01,193.6,10.199999999999989
1870-03-01,202.6,9.0
1870-04-01,212.5,9.900000000000006
1870-05-01,223.4,10.900000000000006
1870-06-01,230.0,6.599999999999994
1870-07-01,232.5,2.5
1870-08-01,234.0,1.5
1870-09-01,233.7,-0.30000000000001137
1870-10-01,232.9,-0.799999999999983
1870-11-01,231.0,-1.9000000000000057
1870-12-01,225.8,-5.199999999999989
1871-01-01,220.7,-5.100000000000023
1871-02-01,215.6,-5.099999999999994
1871-03-01,208.7,-6.900000000000006
1871-04-01,200.8,-7.899999999999977
1871-05-01,193.9,-6.900000000000006
1871-06-01,188.2,-5.700000000000017
1871-07-01,184.9,-3.299999999999983
1871-08-01,183.9,-1.0
1871-09-01,179.7,-4.200000000000017
1871-10-01,171.8,-7.899999999999977
1871-11-01,164.9,-6.900000000000006
1871-12-01,163.6,-1.3000000000000114
1872-01-01,165.0,1.4000000000000057
1872-02-01,164.0,-1.0
1872-03-01,165.2,1.1999999999999886
1872-04-01,168.5,3.3000000000000114
1872-05-01,169.9,1.4000000000000057
1872-06-01,169.9,0.0
1872-07-01,170.0,0.09999999999999432
1872-08-01,169.6,-0.4000000000000057
1872-09-01,169.3,-0.29999999999998295
1872-10-01,168.2,-1.1000000000000227
1872-11-01,162.3,-5.899999999999977
1872-12-01,153.6,-8.700000000000017
1873-01-01,146.4,-7.199999999999989
1873-02-01,142.0,-4.400000000000006
1873-03-01,135.6,-6.400000000000006
1873-04-01,127.1,-8.5
1873-05-01,119.3,-7.799999999999997
1873-06-01,112.9,-6.3999999999999915
1873-07-01,108.7,-4.200000000000003
1873-08-01,103.9,-4.799999999999997
1873-09-01,97.4,-6.5
1873-10-01,90.7,-6.700000000000003
1873-11-01,87.4,-3.299999999999997
1873-12-01,86.7,-0.7000000000000028
1874-01-01,86.3,-0.4000000000000057
1874-02-01,85.9,-0.3999999999999915
1874-03-01,84.1,-1.8000000000000114
1874-04-01,81.9,-2.1999999999999886
1874-05-01,79.2,-2.700000000000003
1874-06-01,75.9,-3.299999999999997
1874-07-01,71.3,-4.6000000000000085
1874-08-01,65.2,-6.099999999999994
1874-09-01,61.3,-3.9000000000000057
1874-10-01,60.2,-1.0999999999999943
1874-11-01,57.7,-2.5
1874-12-01,54.4,-3.3000000000000043
1875-01-01,49.6,-4.799999999999997
1875-02-01,42.5,-7.100000000000001
1875-03-01,37.5,-5.0
1875-04-01,34.2,-3.299999999999997
1875-05-01,31.9,-2.3000000000000043
1875-06-01,29.8,-2.099999999999998
1875-07-01,28.4,-1.4000000000000021
1875-08-01,27.9,-0.5
1875-09-01,27.3,-0.5999999999999979
1875-10-01,25.2,-2.1000000000000014
1875-11-01,22.9,-2.3000000000000007
1875-12-01,20.9,-2.0
1876-01-01,19.5,-1.3999999999999986
1876-02-01,19.3,-0.1999999999999993
1876-03-01,19.4,0.09999999999999787
1876-04-01,20.1,0.7000000000000028
1876-05-01,19.6,-0.5
1876-06-01,19.0,-0.6000000000000014
1876-07-01,19.5,0.5
1876-08-01,19.8,0.3000000000000007
1876-09-01,18.1,-1.6999999999999993
1876-10-01,17.7,-0.40000000000000213
1876-11-01,19.8,2.1000000000000014
1876-12-01,21.8,2.0
1877-01-01,22.0,0.1999999999999993
1877-02-01,21.2,-0.8000000000000007
1877-03-01,21.5,0.3000000000000007
1877-04-01,21.4,-0.10000000000000142
1877-05-01,21.2,-0.1999999999999993
1877-06-01,21.1,-0.09999999999999787
1877-07-01,19.2,-1.9000000000000021
1877-08-01,17.6,-1.5999999999999979
1877-09-01,17.2,-0.40000000000000213
1877-10-01,15.8,-1.3999999999999986
1877-11-01,13.6,-2.200000000000001
1877-12-01,12.0,-1.5999999999999996
1878-01-01,11.0,-1.0
1878-02-01,10.2,-0.8000000000000007
1878-03-01,8.9,-1.299999999999999
1878-04-01,7.8,-1.1000000000000005
1878-05-01,6.7,-1.0999999999999996
1878-06-01,5.9,-0.7999999999999998
1878-07-01,5.6,-0.3000000000000007
1878-08-01,5.0,-0.5999999999999996
1878-09-01,4.0,-1.0
1878-10-01,3.9,-0.10000000000000009
1878-11-01,4.1,0.19999999999999973
1878-12-01,3.7,-0.39999999999999947
1879-01-01,4.1,0.39999999999999947
1879-02-01,5.4,1.3000000000000007
1879-03-01,6.2,0.7999999999999998
1879-04-01,7.0,0.7999999999999998
1879-05-01,8.4,1.4000000000000004
1879-06-01,9.5,1.0999999999999996
1879-07-01,11.6,2.0999999999999996
1879-08-01,15.1,3.5
1879-09-01,18.3,3.200000000000001
1879-10-01,20.5,2.1999999999999993
1879-11-01,22.9,2.3999999999999986
1879-12-01,26.4,3.5
1880-01-01,29.4,3.0
1880-02-01,33.0,3.6000000000000014
1880-03-01,39.8,6.799999999999997
1880-04-01,46.1,6.300000000000004
1880-05-01,49.4,3.299999999999997
1880-06-01,52.2,2.8000000000000043
1880-07-01,54.6,2.3999999999999986
1880-08-01,57.3,2.6999999999999957
1880-09-01,61.3,4.0
1880-10-01,65.8,4.5
1880-11-01,69.4,3.6000000000000085
1880-12-01,72.6,3.1999999999999886
1881-01-01,78.3,5.700000000000003
1881-02-01,82.8,4.5
1881-03-01,82.6,-0.20000000000000284
1881-04-01,83.2,0.6000000000000085
1881-05-01,86.4,3.200000000000003
1881-06-01,89.3,2.8999999999999915
1881-07-01,91.1,1.7999999999999972
1881-08-01,92.8,1.7000000000000028
1881-09-01,95.1,2.299999999999997
1881-10-01,99.2,4.1000000000000085
1881-11-01,103.7,4.5
1881-12-01,104.1,0.3999999999999915
1882-01-01,100.8,-3.299999999999997
1882-02-01,97.4,-3.3999999999999915
1882-03-01,96.5,-0.9000000000000057
1882-04-01,96.4,-0.09999999999999432
1882-05-01,98.1,1.6999999999999886
1882-06-01,99.8,1.7000000000000028
1882-07-01,100.5,0.7000000000000028
1882-08-01,100.0,-0.5
1882-09-01,96.7,-3.299999999999997
1882-10-01,94.1,-2.6000000000000085
1882-11-01,90.9,-3.1999999999999886
1882-12-01,90.8,-0.10000000000000853
1883-01-01,95.4,4.6000000000000085
1883-02-01,98.2,2.799999999999997
1883-03-01,98.2,0.0
1883-04-01,99.6,1.3999999999999915
1883-05-01,101.3,1.7000000000000028
1883-06-01,103.7,2.4000000000000057
1883-07-01,108.2,4.5
1883-08-01,113.1,4.8999999999999915
1883-09-01,119.0,5.900000000000006
1883-10-01,121.7,2.700000000000003
1883-11-01,123.7,2.0
1883-12-01,124.4,0.7000000000000028
1884-01-01,120.8,-3.6000000000000085
1884-02-01,119.5,-1.2999999999999972
1884-03-01,120.9,1.4000000000000057
1884-04-01,119.0,-1.9000000000000057
1884-05-01,113.2,-5.799999999999997
1884-06-01,107.8,-5.400000000000006
1884-07-01,102.5,-5.299999999999997
1884-08-01,98.0,-4.5
1884-09-01,94.4,-3.5999999999999943
1884-10-01,90.3,-4.1000000000000085
1884-11-01,89.3,-1.0
1884-12-01,92.0,2.700000000000003
1885-01-01,95.1,3.0999999999999943
1885-02-01,95.7,0.6000000000000085
1885-03-01,93.7,-2.0
1885-04-01,91.6,-2.1000000000000085
1885-05-01,90.5,-1.0999999999999943
1885-06-01,88.4,-2.0999999999999943
1885-07-01,85.7,-2.700000000000003
1885-08-01,81.6,-4.1000000000000085
1885-09-01,79.0,-2.5999999999999943
1885-10-01,78.7,-0.29999999999999716
1885-11-01,75.0,-3.700000000000003
1885-12-01,68.2,-6.799999999999997
1886-01-01,61.7,-6.5
1886-02-01,56.9,-4.800000000000004
1886-03-01,53.3,-3.6000000000000014
1886-04-01,50.0,-3.299999999999997
1886-05-01,45.7,-4.299999999999997
1886-06-01,43.0,-2.700000000000003
1886-07-01,41.0,-2.0
1886-08-01,38.8,-2.200000000000003
1886-09-01,34.2,-4.599999999999994
1886-10-01,28.0,-6.200000000000003
1886-11-01,24.7,-3.3000000000000007
1886-12-01,23.1,-1.5999999999999979
1887-01-01,21.9,-1.2000000000000028
1887-02-01,21.7,-0.1999999999999993
1887-03-01,21.0,-0.6999999999999993
1887-04-01,19.9,-1.1000000000000014
1887-05-01,20.2,0.3000000000000007
1887-06-01,21.2,1.0
1887-07-01,21.9,0.6999999999999993
1887-08-01,21.7,-0.1999999999999993
1887-09-01,21.5,-0.1999999999999993
1887-10-01,21.6,0.10000000000000142
1887-11-01,20.6,-1.0
1887-12-01,19.1,-1.5
1888-01-01,17.1,-2.0
1888-02-01,14.4,-2.700000000000001
1888-03-01,13.2,-1.200000000000001
1888-04-01,13.0,-0.1999999999999993
1888-05-01,12.9,-0.09999999999999964
1888-06-01,12.2,-0.7000000000000011
1888-07-01,10.4,-1.799999999999999
1888-08-01,9.7,-0.7000000000000011
1888-09-01,9.7,0.0
1888-10-01,9.5,-0.1999999999999993
1888-11-01,9.2,-0.3000000000000007
1888-12-01,8.8,-0.3999999999999986
1889-01-01,9.2,0.3999999999999986
1889-02-01,10.9,1.700000000000001
1889-03-01,12.0,1.0999999999999996
1889-04-01,11.8,-0.1999999999999993
1889-05-01,11.1,-0.7000000000000011
1889-06-01,10.4,-0.6999999999999993
1889-07-01,10.7,0.29999999999999893
1889-08-01,10.5,-0.1999999999999993
1889-09-01,9.8,-0.6999999999999993
1889-10-01,9.5,-0.3000000000000007
1889-11-01,9.5,0.0
1889-12-01,9.3,-0.1999999999999993
1890-01-01,9.1,-0.20000000000000107
1890-02-01,8.4,-0.6999999999999993
1890-03-01,8.3,-0.09999999999999964
1890-04-01,9.7,1.3999999999999986
1890-05-01,10.9,1.200000000000001
1890-06-01,11.7,0.7999999999999989
1890-07-01,12.3,0.6000000000000014
1890-08-01,14.4,2.0999999999999996
1890-09-01,16.2,1.799999999999999
1890-10-01,17.9,1.6999999999999993
1890-11-01,21.7,3.8000000000000007
1890-12-01,27.5,5.800000000000001
1891-01-01,34.1,6.600000000000001
1891-02-01,39.0,4.899999999999999
1891-03-01,43.3,4.299999999999997
1891-04-01,48.7,5.400000000000006
1891-05-01,53.7,5.0
1891-06-01,57.7,4.0
1891-07-01,63.2,5.5
1891-08-01,70.8,7.599999999999994
1891-09-01,77.3,6.5
1891-10-01,83.5,6.200000000000003
1891-11-01,89.5,6.0
1891-12-01,94.2,4.700000000000003
1892-01-01,97.4,3.200000000000003
1892-02-01,103.3,5.8999999999999915
1892-03-01,108.7,5.400000000000006
1892-04-01,110.6,1.8999999999999915
1892-05-01,113.6,3.0
1892-06-01,118.4,4.800000000000011
1892-07-01,122.0,3.5999999999999943
1892-08-01,122.2,0.20000000000000284
1892-09-01,123.1,0.8999999999999915
1892-10-01,125.5,2.4000000000000057
1892-11-01,127.2,1.7000000000000028
1892-12-01,128.5,1.2999999999999972
1893-01-01,130.2,1.6999999999999886
1893-02-01,133.0,2.8000000000000114
1893-03-01,136.0,3.0
1893-04-01,137.7,1.6999999999999886
1893-05-01,139.0,1.3000000000000114
1893-06-01,140.8,1.8000000000000114
1893-07-01,142.4,1.5999999999999943
1893-08-01,143.8,1.4000000000000057
1893-09-01,143.6,-0.20000000000001705
1893-10-01,142.3,-1.299999999999983
1893-11-01,142.9,0.5999999999999943
1893-12-01,144.7,1.799999999999983
1894-01-01,146.5,1.8000000000000114
1894-02-01,143.7,-2.8000000000000114
1894-03-01,138.7,-5.0
1894-04-01,137.6,-1.0999999999999943
1894-05-01,136.0,-1.5999999999999943
1894-06-01,132.4,-3.5999999999999943
1894-07-01,128.6,-3.8000000000000114
1894-08-01,126.0,-2.5999999999999943
1894-09-01,125.4,-0.5999999999999943
1894-10-01,125.7,0.29999999999999716
1894-11-01,123.0,-2.700000000000003
1894-12-01,118.8,-4.200000000000003
1895-01-01,112.8,-6.0
1895-02-01,108.7,-4.099999999999994
1895-03-01,108.0,-0.7000000000000028
1895-04-01,106.9,-1.0999999999999943
1895-05-01,105.8,-1.1000000000000085
1895-06-01,105.9,0.10000000000000853
1895-07-01,104.2,-1.7000000000000028
1895-08-01,101.2,-3.0
1895-09-01,99.9,-1.2999999999999972
1895-10-01,96.9,-3.0
1895-11-01,91.9,-5.0
1895-12-01,87.5,-4.400000000000006
1896-01-01,85.8,-1.7000000000000028
1896-02-01,82.7,-3.0999999999999943
1896-03-01,80.1,-2.6000000000000085
1896-04-01,77.6,-2.5
1896-05-01,74.2,-3.3999999999999915
1896-06-01,71.7,-2.5
1896-07-01,70.5,-1.2000000000000028
1896-08-01,69.4,-1.0999999999999943
1896-09-01,65.8,-3.6000000000000085
1896-10-01,63.4,-2.3999999999999986
1896-11-01,62.0,-1.3999999999999986
1896-12-01,58.8,-3.200000000000003
1897-01-01,55.0,-3.799999999999997
1897-02-01,53.4,-1.6000000000000014
1897-03-01,52.1,-1.2999999999999972
1897-04-01,50.2,-1.8999999999999986
1897-05-01,47.1,-3.1000000000000014
1897-06-01,44.4,-2.700000000000003
1897-07-01,43.1,-1.2999999999999972
1897-08-01,42.8,-0.30000000000000426
1897-09-01,44.0,1.2000000000000028
1897-10-01,43.5,-0.5
1897-11-01,42.7,-0.7999999999999972
1897-12-01,43.9,1.1999999999999957
1898-01-01,43.3,-0.6000000000000014
1898-02-01,42.7,-0.5999999999999943
1898-03-01,42.4,-0.30000000000000426
1898-04-01,42.9,0.5
1898-05-01,45.8,2.8999999999999986
1898-06-01,46.0,0.20000000000000284
1898-07-01,43.8,-2.200000000000003
1898-08-01,41.2,-2.5999999999999943
1898-09-01,37.9,-3.3000000000000043
1898-10-01,36.4,-1.5
1898-11-01,35.2,-1.1999999999999957
1898-12-01,33.8,-1.4000000000000057
1899-01-01,34.0,0.20000000000000284
1899-02-01,32.3,-1.7000000000000028
1899-03-01,28.5,-3.799999999999997
1899-04-01,25.2,-3.3000000000000007
1899-05-01,22.1,-3.099999999999998
1899-06-01,20.3,-1.8000000000000007
1899-07-01,19.5,-0.8000000000000007
1899-08-01,19.1,-0.3999999999999986
1899-09-01,18.8,-0.3000000000000007
1899-10-01,18.2,-0.6000000000000014
1899-11-01,18.9,0.6999999999999993
1899-12-01,18.8,-0.09999999999999787
1900-01-01,17.9,-0.9000000000000021
1900-02-01,17.6,-0.29999999999999716
1900-03-01,17.7,0.09999999999999787
1900-04-01,17.7,0.0
1900-05-01,17.5,-0.1999999999999993
1900-06-01,16.5,-1.0
1900-07-01,15.2,-1.3000000000000007
1900-08-01,13.7,-1.5
1900-09-01,12.7,-1.0
1900-10-01,11.3,-1.3999999999999986
1900-11-01,9.8,-1.5
1900-12-01,9.0,-0.8000000000000007
1901-01-01,8.1,-0.9000000000000004
1901-02-01,7.3,-0.7999999999999998
1901-03-01,6.5,-0.7999999999999998
1901-04-01,5.4,-1.0999999999999996
1901-05-01,4.7,-0.7000000000000002
1901-06-01,4.6,-0.10000000000000053
1901-07-01,5.0,0.40000000000000036
1901-08-01,5.2,0.20000000000000018
1901-09-01,5.5,0.2999999999999998
1901-10-01,6.1,0.5999999999999996
1901-11-01,5.6,-0.5
1901-12-01,4.8,-0.7999999999999998
1902-01-01,4.5,-0.2999999999999998
1902-02-01,4.6,0.09999999999999964
1902-03-01,5.2,0.6000000000000005
1902-04-01,6.5,1.2999999999999998
1902-05-01,7.8,1.2999999999999998
1902-06-01,8.4,0.6000000000000005
1902-07-01,8.6,0.1999999999999993
1902-08-01,10.0,1.4000000000000004
1902-09-01,11.3,1.3000000000000007
1902-10-01,13.1,1.799999999999999
1902-11-01,15.8,2.700000000000001
1902-12-01,17.6,1.8000000000000007
1903-01-01,20.5,2.8999999999999986
1903-02-01,24.2,3.6999999999999993
1903-03-01,26.3,2.1000000000000014
1903-04-01,28.1,1.8000000000000007
1903-05-01,32.1,4.0
1903-06-01,37.6,5.5
1903-07-01,42.3,4.699999999999996
1903-08-01,44.4,2.1000000000000014
1903-09-01,46.6,2.200000000000003
1903-10-01,49.4,2.799999999999997
1903-11-01,52.3,2.8999999999999986
1903-12-01,55.8,3.5
1904-01-01,59.1,3.3000000000000043
1904-02-01,62.7,3.6000000000000014
1904-03-01,66.1,3.3999999999999915
1904-04-01,68.5,2.4000000000000057
1904-05-01,69.1,0.5999999999999943
1904-06-01,69.3,0.20000000000000284
1904-07-01,71.5,2.200000000000003
1904-08-01,77.4,5.900000000000006
1904-09-01,83.0,5.599999999999994
1904-10-01,84.1,1.0999999999999943
1904-11-01,84.4,0.30000000000001137
1904-12-01,85.5,1.0999999999999943
1905-01-01,87.6,2.0999999999999943
1905-02-01,89.1,1.5
1905-03-01,90.9,1.8000000000000114
1905-04-01,94.4,3.5
1905-05-01,100.9,6.5
1905-06-01,105.7,4.799999999999997
1905-07-01,105.1,-0.6000000000000085
1905-08-01,100.7,-4.3999999999999915
1905-09-01,97.5,-3.200000000000003
1905-10-01,99.1,1.5999999999999943
1905-11-01,100.9,1.8000000000000114
1905-12-01,102.6,1.6999999999999886
1906-01-01,105.7,3.1000000000000085
1906-02-01,107.1,1.3999999999999915
1906-03-01,106.4,-0.6999999999999886
1906-04-01,102.2,-4.200000000000003
1906-05-01,93.2,-9.0
1906-06-01,89.1,-4.1000000000000085
1906-07-01,91.9,2.8000000000000114
1906-08-01,99.4,7.5
1906-09-01,104.5,5.099999999999994
1906-10-01,104.0,-0.5
1906-11-01,102.8,-1.2000000000000028
1906-12-01,100.2,-2.5999999999999943
1907-01-01,94.9,-5.299999999999997
1907-02-01,91.6,-3.3000000000000114
1907-03-01,94.0,2.4000000000000057
1907-04-01,99.4,5.400000000000006
1907-05-01,104.2,4.799999999999997
1907-06-01,104.6,0.3999999999999915
1907-07-01,100.8,-3.799999999999997
1907-08-01,93.1,-7.700000000000003
1907-09-01,85.7,-7.3999999999999915
1907-10-01,83.8,-1.9000000000000057
1907-11-01,84.0,0.20000000000000284
1907-12-01,84.4,0.4000000000000057
1908-01-01,84.3,-0.10000000000000853
1908-02-01,86.1,1.7999999999999972
1908-03-01,88.7,2.6000000000000085
1908-04-01,86.6,-2.1000000000000085
1908-05-01,83.1,-3.5
1908-06-01,81.5,-1.5999999999999943
1908-07-01,82.2,0.7000000000000028
1908-08-01,84.3,2.0999999999999943
1908-09-01,87.8,3.5
1908-10-01,88.6,0.7999999999999972
1908-11-01,86.5,-2.0999999999999943
1908-12-01,84.4,-2.0999999999999943
1909-01-01,82.4,-2.0
1909-02-01,77.4,-5.0
1909-03-01,69.4,-8.0
1909-04-01,67.9,-1.5
1909-05-01,70.4,2.5
1909-06-01,72.1,1.6999999999999886
